ID,CALENDAR_ID,Literal_Time_start,LONGITUDE_start,LATITUDE_start,Literal_Time_end,LONGITUDE_end,LATITUDE_end,ROUTE_ABBR,DIRECTION,SERV_DAY_start,SERV_DAY_end,MESSAGE_COUNT
120161005-2646-16,120161005,2016-10-05 19:42:07.680000,-931680968,450122433,2016-10-05 20:33:23.973000,-932208432,449210757,921.0,1.0,Weekday,Weekday,100
120161005-2646-17,120161005,2016-10-05 20:33:29.137000,-932208303,449209274,2016-10-05 21:20:12.927000,-931684935,450125857,921.0,4.0,Weekday,Weekday,61
120161005-2646-18,120161005,2016-10-05 21:21:03.457000,-931681271,450122743,2016-10-05 22:13:35.957000,-932206380,449213560,921.0,1.0,Weekday,Weekday,96
120161005-2646-19,120161005,2016-10-05 22:13:47.063000,-932208339,449209228,2016-10-05 23:01:32.193000,-931684817,450125528,921.0,4.0,Weekday,Weekday,95
120161005-2646-20,120161005,2016-10-05 23:01:59.137000,-931682066,450122579,2016-10-05 23:45:14.837000,-932204423,449212810,921.0,1.0,Weekday,Weekday,70
120161005-2646-21,120161005,2016-10-05 23:46:13.523000,-932208219,449209285,2016-10-06 00:32:29.407000,-931684438,450125121,921.0,4.0,Weekday,Weekday,69
120161005-2646-22,120161005,2016-10-06 00:32:42.633000,-931682703,450122709,2016-10-06 01:16:57.910000,-932204711,449212644,921.0,1.0,Weekday,Weekday,59
120161005-2646-23,120161005,2016-10-06 01:17:15.260000,-932208509,449209573,2016-10-06 02:00:28.397000,-931681620,450125404,921.0,4.0,Weekday,Weekday,96
120161005-2646-24,120161005,2016-10-06 02:00:41.997000,-931682014,450122846,2016-10-06 02:36:08.010000,-932204369,449211981,921.0,1.0,Weekday,Weekday,81
120161005-2646-25,120161005,2016-10-06 02:36:31.800000,-932208658,449209435,2016-10-06 03:22:49.430000,-931685118,450125712,921.0,4.0,Weekday,Weekday,68
120161005-2646-26,120161005,2016-10-06 03:23:47.023000,-931682225,450122799,2016-10-06 04:30:30.447000,-931850979,449179068,921.0,1.0,Weekday,Weekday,103
120161005-2646-27,120161005,2016-10-06 04:30:44.707000,-931844761,449179124,2016-10-06 04:59:26.440000,-931684926,450125351,921.0,4.0,Weekday,Weekday,47
120161005-2646-28,120161005,2016-10-06 04:59:44.053000,-931682064,450122561,2016-10-06 07:06:07.263000,-932434932,448633440,921.0,1.0,Weekday,Weekday,156
120161006-2646-00,120161006,2016-10-06 10:22:17.647000,-932430072,448636693,2016-10-06 11:24:01.233000,-932201483,449207242,921.0,1.0,Weekday,Weekday,111
120161006-2646-01,120161006,2016-10-06 11:24:05.727000,-932198657,449203672,2016-10-06 12:23:06.233000,-931681892,450128092,921.0,4.0,Weekday,Weekday,83
120161006-2646-02,120161006,2016-10-06 12:23:58.913000,-931680673,450122907,2016-10-06 12:55:44.700000,-932201455,449206572,921.0,1.0,Weekday,Weekday,66
120161006-2646-03,120161006,2016-10-06 12:55:49.613000,-932198508,449203269,2016-10-06 13:53:31.463000,-931684119,450123858,921.0,4.0,Weekday,Weekday,101
120161006-2646-04,120161006,2016-10-06 13:53:47.967000,-931681872,450122593,2016-10-06 14:29:50.580000,-932201823,449206841,921.0,1.0,Weekday,Weekday,93
120161006-2646-05,120161006,2016-10-06 14:29:55.367000,-932198730,449203585,2016-10-06 15:25:55.363000,-931681418,450126492,921.0,4.0,Weekday,Weekday,92
120161006-2646-06,120161006,2016-10-06 15:26:12.867000,-931682215,450122647,2016-10-06 15:59:50.443000,-932201073,449206636,921.0,1.0,Weekday,Weekday,82
120161006-2646-07,120161006,2016-10-06 15:59:55.373000,-932198126,449201692,2016-10-06 16:55:59.550000,-931682858,450126159,921.0,4.0,Weekday,Weekday,103
120161006-2646-08,120161006,2016-10-06 16:56:19.223000,-931682239,450122584,2016-10-06 19:06:08.930000,-932208180,449212828,921.0,1.0,Weekday,Weekday,215
120161006-2646-09,120161006,2016-10-06 19:06:18.010000,-932208673,449209368,2016-10-06 19:51:33.013000,-931683106,450126396,921.0,4.0,Weekday,Weekday,91
120161006-2646-10,120161006,2016-10-06 19:52:06.087000,-931681570,450122382,2016-10-06 20:44:17.933000,-932204592,449212276,921.0,1.0,Weekday,Weekday,89
120161006-2646-11,120161006,2016-10-06 20:44:42.893000,-932208346,449209305,2016-10-06 21:33:34.823000,-931681689,450122689,921.0,4.0,Weekday,Weekday,106
